island_id,name,area
ISLAND_0000,First Island,581.32
ISLAND_0001,Event Island,666.99
ISLAND_0002,Hospital Island,3840.0
ISLAND_0003,Technology Island,1201.26
ISLAND_0004,Answer Island,3815.45
ISLAND_0005,Whatever Island,4477.77
ISLAND_0006,Again Island,81622.26
ISLAND_0007,Avoid Island,
ISLAND_0008,Hand Island,166.99
ISLAND_0009,Face Island,1793.94
ISLAND_0010,Near Island,220.4
ISLAND_0011,Policy Island,
ISLAND_0012,Realize Island,622.39
ISLAND_0013,Performance Island,353.84
ISLAND_0014,Raise Island,427.25
ISLAND_0015,Short Island,4613.93
ISLAND_0016,Relate Island,799.92
ISLAND_0017,Plan Island,303.89
ISLAND_0018,Everything Island,30659.68
ISLAND_0019,Edge Island,197.88
ISLAND_0020,Hard Island,1177.48
ISLAND_0021,Age Island,4042.47
ISLAND_0022,Sort Island,41.99
ISLAND_0023,Benefit Island,2865.57
ISLAND_0024,Represent Island,132.92
ISLAND_0025,Care Island,5684.88
ISLAND_0026,Time Island,159.92
ISLAND_0027,Arm Island,4383.22
ISLAND_0028,Individual Island,
ISLAND_0029,Fall Island,
ISLAND_0030,Activity Island,1812.81
ISLAND_0031,Look Island,690.49
ISLAND_0032,Job Island,346.25
ISLAND_0033,Somebody Island,20786.72
ISLAND_0034,Station Island,
ISLAND_0035,Including Island,137.81
ISLAND_0036,Own Island,4149.48
ISLAND_0037,Major Island,223.12
ISLAND_0038,Available Island,164.0
ISLAND_0039,Two Island,61.12
ISLAND_0040,Operation Island,417.46
ISLAND_0041,Who Island,929.43
ISLAND_0042,Quite Island,1783.23
ISLAND_0043,Sport Island,7351.15
ISLAND_0044,Fast Island,3145.71
ISLAND_0045,Owner Island,748.64
ISLAND_0046,Throw Island,737.75
ISLAND_0047,To Island,3042.14
ISLAND_0048,Listen Island,13976.61
ISLAND_0049,Candidate Island,1411.81
ISLAND_0050,Wish Island,429.12
ISLAND_0051,Rock Island,150.55
ISLAND_0052,Policy Island,60.92
ISLAND_0053,Serve Island,4156.96
ISLAND_0054,Save Island,3484.07
ISLAND_0055,Thing Island,3479.79
ISLAND_0056,May Island,847.83
ISLAND_0057,Lot Island,18285.61
ISLAND_0058,Way Island,416.45
ISLAND_0059,Issue Island,7409.65
ISLAND_0060,Church Island,1014.87
ISLAND_0061,Affect Island,
ISLAND_0062,System Island,3586.96
ISLAND_0063,Civil Island,2488.09
ISLAND_0064,Specific Island,2239.36
ISLAND_0065,Nothing Island,1290.21
ISLAND_0066,Explain Island,1016.59
ISLAND_0067,Front Island,
ISLAND_0068,Blood Island,11713.69
ISLAND_0069,Add Island,4654.8
ISLAND_0070,Organization Island,1371.41
ISLAND_0071,Receive Island,8219.91
ISLAND_0072,Special Island,3090.2
ISLAND_0073,Partner Island,1155.64
ISLAND_0074,Against Island,597.57
ISLAND_0075,Together Island,932.78
ISLAND_0076,Seem Island,1.93
ISLAND_0077,Institution Island,
ISLAND_0078,Message Island,
ISLAND_0079,Care Island,26511.66
