PROVINCE,REGION
PROVINCE_0000,REGION_011
PROVINCE_0001,REGION_015
PROVINCE_0002,REGION_024
PROVINCE_0003,REGION_007
PROVINCE_0004,REGION_017
PROVINCE_0005,REGION_010
PROVINCE_0006,REGION_015
PROVINCE_0007,REGION_007
PROVINCE_0008,REGION_013
PROVINCE_0009,REGION_017
PROVINCE_0010,REGION_000
PROVINCE_0011,REGION_022
PROVINCE_0012,REGION_002
PROVINCE_0013,REGION_003
PROVINCE_0014,REGION_018
PROVINCE_0015,REGION_028
PROVINCE_0016,REGION_004
PROVINCE_0017,REGION_007
PROVINCE_0018,REGION_013
PROVINCE_0019,REGION_027
PROVINCE_0020,REGION_001
PROVINCE_0021,REGION_006
PROVINCE_0022,REGION_014
PROVINCE_0023,REGION_013
PROVINCE_0024,REGION_017
PROVINCE_0025,REGION_023
PROVINCE_0026,REGION_002
PROVINCE_0027,REGION_003
PROVINCE_0028,REGION_021
PROVINCE_0029,REGION_017
PROVINCE_0030,REGION_014
PROVINCE_0031,REGION_022
PROVINCE_0032,REGION_004
PROVINCE_0033,REGION_007
PROVINCE_0034,REGION_023
PROVINCE_0035,REGION_006
PROVINCE_0036,REGION_006
PROVINCE_0037,REGION_011
PROVINCE_0038,REGION_003
PROVINCE_0039,REGION_001
PROVINCE_0040,REGION_008
PROVINCE_0041,REGION_000
PROVINCE_0042,REGION_029
PROVINCE_0043,REGION_018
PROVINCE_0044,REGION_013
PROVINCE_0045,REGION_003
PROVINCE_0046,REGION_008
PROVINCE_0047,REGION_020
PROVINCE_0048,REGION_018
PROVINCE_0049,REGION_028
PROVINCE_0050,REGION_014
PROVINCE_0051,REGION_028
PROVINCE_0052,REGION_006
PROVINCE_0053,REGION_002
PROVINCE_0054,REGION_010
PROVINCE_0055,REGION_029
PROVINCE_0056,REGION_007
PROVINCE_0057,REGION_019
PROVINCE_0058,REGION_003
PROVINCE_0059,REGION_002
PROVINCE_0060,REGION_025
PROVINCE_0061,REGION_008
PROVINCE_0062,REGION_025
PROVINCE_0063,REGION_019
PROVINCE_0064,REGION_017
PROVINCE_0065,REGION_023
PROVINCE_0066,REGION_020
PROVINCE_0067,REGION_024
PROVINCE_0068,REGION_007
PROVINCE_0069,REGION_001
PROVINCE_0070,REGION_015
PROVINCE_0071,REGION_022
PROVINCE_0072,REGION_008
PROVINCE_0073,REGION_017
PROVINCE_0074,REGION_005
PROVINCE_0075,REGION_021
PROVINCE_0076,REGION_024
PROVINCE_0077,REGION_022
PROVINCE_0078,REGION_023
PROVINCE_0079,REGION_000
PROVINCE_0080,REGION_029
PROVINCE_0081,REGION_026
PROVINCE_0082,REGION_015
PROVINCE_0083,REGION_026
PROVINCE_0084,REGION_006
PROVINCE_0085,REGION_025
PROVINCE_0086,REGION_013
PROVINCE_0087,REGION_028
PROVINCE_0088,REGION_010
PROVINCE_0089,REGION_003
PROVINCE_0090,REGION_002
PROVINCE_0091,REGION_016
PROVINCE_0092,REGION_018
PROVINCE_0093,REGION_007
PROVINCE_0094,REGION_029
PROVINCE_0095,REGION_018
PROVINCE_0096,REGION_008
PROVINCE_0097,REGION_000
PROVINCE_0098,REGION_013
PROVINCE_0099,REGION_022
PROVINCE_0100,REGION_011
PROVINCE_0101,REGION_029
PROVINCE_0102,REGION_011
PROVINCE_0103,REGION_024
PROVINCE_0104,REGION_014
PROVINCE_0105,REGION_017
PROVINCE_0106,REGION_022
PROVINCE_0107,REGION_005
PROVINCE_0108,REGION_000
PROVINCE_0109,REGION_023
PROVINCE_0110,REGION_003
PROVINCE_0111,REGION_020
PROVINCE_0112,REGION_018
PROVINCE_0113,REGION_000
PROVINCE_0114,REGION_021
PROVINCE_0115,REGION_008
PROVINCE_0116,REGION_006
PROVINCE_0117,REGION_005
PROVINCE_0118,REGION_026
PROVINCE_0119,REGION_005
PROVINCE_0120,REGION_007
PROVINCE_0121,REGION_023
PROVINCE_0122,REGION_001
PROVINCE_0123,REGION_023
PROVINCE_0124,REGION_005
PROVINCE_0125,REGION_006
PROVINCE_0126,REGION_026
PROVINCE_0127,REGION_006
PROVINCE_0128,REGION_006
PROVINCE_0129,REGION_004
PROVINCE_0130,REGION_009
PROVINCE_0131,REGION_014
PROVINCE_0132,REGION_001
PROVINCE_0133,REGION_021
PROVINCE_0134,REGION_014
PROVINCE_0135,REGION_007
PROVINCE_0136,REGION_019
PROVINCE_0137,REGION_004
PROVINCE_0138,REGION_001
PROVINCE_0139,REGION_003
PROVINCE_0140,REGION_023
PROVINCE_0141,REGION_029
PROVINCE_0142,REGION_023
PROVINCE_0143,REGION_006
PROVINCE_0144,REGION_011
PROVINCE_0145,REGION_020
PROVINCE_0146,REGION_024
PROVINCE_0147,REGION_028
PROVINCE_0148,REGION_024
PROVINCE_0149,REGION_009
